"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CSNK1E",7.71670079252389e-40,-30.3310202156459,0.557,0.697,2.82037697265956e-35
"RIOK2",8.05952110873371e-40,1.75444664621428,0.381,0.247,2.94567437003108e-35
"DLEU2",8.07753265663105e-40,-149.618168225289,0.834,0.874,2.95225741067208e-35
"VPS37B",8.11824135525505e-40,-9.64652740141164,0.23,0.383,2.96713603293217e-35
"MAP1LC3B",8.27571753408142e-40,-28.448689604155,0.691,0.579,3.02469200153142e-35
"SLC25A25",8.39048159142894e-40,-104.105076902347,0.145,0.293,3.06663711685136e-35
"MOSMO",8.50021765689532e-40,-2.56093951506875,0.292,0.454,3.10674455141867e-35
"SRGAP3",8.83142368878583e-40,-20.7494264938051,0.662,0.774,3.22779704401433e-35
"BMPR1B",9.12713035152828e-40,-35.5621005379815,0.133,0.279,3.33587487218007e-35
"ZBTB24",9.80348847336074e-40,1.14562700254624,0.19,0.093,3.58307700212862e-35
"CNOT7",9.86008013618942e-40,-3.67361583462822,0.62,0.481,3.60376068897587e-35
"NPAS1",9.99096266728696e-40,-42.1139485572315,0.125,0.051,3.65159694526671e-35
"ITPKB",1.02691928027102e-39,-27.373775074056,0.018,0.13,3.75328727746256e-35
"TCF4-AS1",1.06845185304658e-39,-4.79463882943231,0.084,0.223,3.90508467769995e-35
"TMEM241",1.1198266568014e-39,-3.84748434875334,0.297,0.172,4.09285444794344e-35
"FZD8",1.13291280956358e-39,-13.8690432714098,0.025,0.138,4.14068302767392e-35
"FAM234B",1.18142591437507e-39,1.26090305026607,0.196,0.098,4.31799357444944e-35
"NLGN3",1.19547999410892e-39,-2.96922994244076,0.046,0.17,4.3693598304687e-35
"ENSG00000286944",1.21028472092415e-39,-7.47926461730868,0.018,0.002,4.42346962650567e-35
"ENSG00000286705",1.22018790898473e-39,1.53579158347298,0.072,0.022,4.4596647885483e-35
"VAT1",1.25076187474421e-39,-93.4205782074713,0.07,0.204,4.57140957600263e-35
"SEPTIN4-AS1",1.2911263154373e-39,-128.166661797621,0.064,0.018,4.71893757029177e-35
"ERRFI1",1.34622221770636e-39,-6.78442090776326,0.288,0.166,4.92030758349497e-35
"COX7C",1.34989941051038e-39,-69.8081323246579,0.895,0.876,4.93374735547438e-35
"WSB2",1.49641844330338e-39,-5.34955324370826,0.256,0.414,5.46925976842952e-35
"SLC22A23",1.62838123705482e-39,-19.5773280409562,0.235,0.39,5.95157058331165e-35
"IFT20",1.65335649645322e-39,-10.696159492652,0.396,0.259,6.04285265888689e-35
"MDFIC",1.70011079477517e-39,-12.3763199596752,0.021,0.135,6.21373494382379e-35
"SLC25A18",1.73967958705447e-39,-90.7149520723139,0.03,0.147,6.3583549227254e-35
"ZBTB8OS",1.86797351050971e-39,0.61155677555335,0.471,0.336,6.82725638356193e-35
"ICA1",1.89428934503593e-39,-7.83944493063746,0.224,0.119,6.92343812717182e-35
"RGR",2.00603422643755e-39,-3.56287233395998,0.083,0.028,7.3318544942066e-35
"LRRC57",2.03805302339223e-39,2.01373031640255,0.307,0.185,7.44887999519626e-35
"ANAPC15",2.13981858240069e-39,2.20815553515023,0.303,0.18,7.82082293681629e-35
"FAM131C",2.14037092689192e-39,5.74606691089271,0.042,0.009,7.82284170069727e-35
"ENSG00000264630",2.16105511670136e-39,0.870925046470957,0.097,0.245,7.89844034603182e-35
"HLTF",2.35803625777785e-39,14.2850414113315,0.702,0.598,8.61838671855227e-35
"SERPINH1",2.37130245487161e-39,-42.0032731471969,0.021,0.133,8.66687334231024e-35
"NEK6",2.43512419836256e-39,-6.65787774707032,0.075,0.206,8.90013543259533e-35
"COPZ1",2.49795181166821e-39,0.543613429360457,0.521,0.387,9.12976407646615e-35
"ENSG00000263050",2.51359210673339e-39,1.9535594601246,0.042,0.009,9.18692779089988e-35
"FZD5",2.54094596494983e-39,0.167626427839706,0.048,0.012,9.28690340729514e-35
"GMDS-DT",2.95441296675401e-39,3.6175714771443,0.528,0.374,1.07980839521892e-34
"NLGN2",2.98195159694211e-39,-2.86044891982088,0.18,0.329,1.08987348916637e-34
"SLC24A1",3.28124245161006e-39,2.86458294680624,0.159,0.073,1.19926130363896e-34
"TSC22D4",3.5776255824771e-39,-45.8171926192963,0.063,0.19,1.30758637413955e-34
"TSR2",3.74744413556333e-39,1.75814810248006,0.336,0.209,1.36965335710704e-34
"RPL13A",3.92031351814755e-39,-84.2351955530345,0.93,0.906,1.43283538774775e-34
"LINC02904",4.09040032942504e-39,-7.84385447732183,0.038,0.008,1.49500041640156e-34
